,book_name,tags,year
154,学术与政治 (豆瓣),"['社会学', '马克斯·韦伯', '韦伯', '政治', '学术', '学术与政治', '政治哲学', '知识分子']", 2005-03
155,心灵的焦灼 (豆瓣),"['茨威格', '小说', '外国文学', '奥地利', '心灵的焦灼', '文学', '经典', '欧洲文学']", 2007-7
156,论语新解 (豆瓣),"['钱穆', '国学', '论语', '儒学', '哲学', '经典', '文化', '中国']", 2005-3
157,虚构集 (豆瓣),"['博尔赫斯', '小说', '阿根廷', '外国文学', '拉美文学', '文学', '虚构集', '拉美']", 2008-2
158,毛毛 (豆瓣),"['童话', '米切尔·恩德', '儿童文学', '毛毛', '德国', '哲理', '时间', '外国文学']", 2000-2-1
159,大明宫词 (豆瓣),"['剧本', '大明宫词', '历史', '中国文学', '爱情', '小说', '戏剧', '经典']", 2000-6-1
160,联邦党人文集 (豆瓣),"['美国', '政治', '政治学', '宪法', '政治哲学', '民主', '历史', '自由主义']", 1980
161,锦灰堆 (豆瓣),"['王世襄', '文化', '锦灰堆', '民俗', '艺术', '玩物', '文博', '杂玩']", 1999-08
162,来自民间的叛逆 (豆瓣),"['音乐', '美国民歌', '民谣', '袁越', '美国', '来自民间的叛逆', '历史', '土摩托']", 2008-8
163,古拉格群岛（上中下） (豆瓣),"['索尔仁尼琴', '俄罗斯', '历史', '反乌托邦', '政治', '俄罗斯文学', '小说', '外国文学']", 1996-12
164,美国宪政历程 (豆瓣),"['美国', '宪政', '法律', '政治', '民主', '法学', '历史', '美国宪政历程']", 2014-1
165,洞穴奇案 (豆瓣),"['法律', '法学', '哲学', '法理', '法哲学', '洞穴奇案', '美国', '萨伯']", 2009-06
166,哈尔罗杰历险记(全套共14册) (豆瓣),"['哈尔罗杰历险记', '童年', '儿童文学', '探险', '小说', '科普', '探险小说', '英国']", 1998-05-01
167,深入理解计算机系统 (豆瓣),"['计算机系统', '计算机', '计算机科学', '操作系统', '编程', '程序员', 'programming', 'OS']", 2004-5-1
